Episode,Score,Max Tile
713,776,64
714,1292,128
715,1020,128
716,1280,128
717,412,32
718,1232,128
719,816,64
720,568,64
721,1232,128
722,1376,128
723,1452,128
724,1096,128
725,424,32
726,1000,128
727,292,32
728,628,64
729,396,32
730,2148,256
731,1448,128
732,536,64
733,696,64
734,676,64
735,1460,128
736,1300,128
737,1608,128
738,1396,128
739,1172,128
740,1360,128
741,1196,128
742,1384,128
743,1244,128
744,756,64
745,428,32
746,856,64
747,572,64
748,764,64
749,1088,128
750,1340,128
751,624,64
752,856,64
753,872,64
754,1320,128
755,356,32
756,544,64
757,708,64
758,1184,128
759,712,64
760,548,64
761,652,64
762,992,128
763,1392,128
764,772,64
765,1596,128
766,572,64
767,3400,256
768,960,128
769,572,64
770,916,64
771,1060,128
772,612,64
773,456,32
774,440,32
775,712,64
776,700,64
777,2096,256
778,1220,128
779,1312,128
780,1088,128
781,448,64
782,1108,128
783,2256,256
784,2256,256
785,1440,128
786,1368,128
787,984,128
788,560,64
789,468,32
790,1320,128
791,1324,128
792,1040,128
793,640,64
794,1596,128
795,1096,128
796,1716,128
797,1316,128
798,2232,256
799,700,64
800,456,32
801,708,64
802,624,64
803,604,64
804,616,64
805,1208,128
806,420,32
807,660,64
808,1192,128
809,412,32
810,1308,128
811,460,64
812,700,64
813,1332,128
814,412,32
815,1152,128
816,2800,256
817,1140,128
818,756,64
819,756,64
820,832,64
821,1104,128
822,656,64
823,956,128
824,728,64
825,1348,128
826,948,128
827,1088,128
828,1448,128
829,816,64
830,1324,128
831,2304,256
832,1308,128
833,440,32
834,1320,128
835,2204,256
836,1344,128
837,1084,128
838,1164,128
839,616,64
840,748,64
841,584,64
842,700,64
843,712,64
844,584,64
845,568,64
846,1148,128
847,284,32
848,1288,128
849,1144,128
850,564,64
851,1164,128
852,280,32
853,964,64
854,744,64
855,980,64
856,1052,128
857,1136,128
858,1416,128
859,408,32
860,1356,128
861,1600,128
862,604,64
863,592,64
864,1112,128
865,700,64
866,1096,128
867,1372,128
868,2492,256
869,1332,128
870,688,64
871,268,32
872,1032,128
873,656,64
874,1268,128
875,552,64
876,1168,128
877,552,32
878,576,64
879,540,64
880,1112,128
881,724,64
882,264,32
883,616,64
884,1096,128
885,1404,128
886,736,64
887,1464,128
888,592,64
889,1144,128
890,1092,128
891,612,64
892,1248,128
893,1416,128
894,1512,128
895,1400,128
896,160,16
897,1012,128
898,1752,128
899,324,32
900,1316,128
901,748,64
902,1480,128
903,928,128
904,944,64
905,956,128
906,552,64
907,1316,128
908,1484,128
909,320,32
910,1748,128
911,1012,64
912,1052,128
913,2400,256
914,744,64
915,2584,256
916,1376,128
917,1376,128
918,632,64
919,1104,128
920,408,32
921,1168,128
922,1156,128
923,272,32
924,740,64
925,572,64
926,1008,128
927,716,64
928,964,128
929,1516,128
930,816,64
931,744,64
932,1052,128
933,1036,128
934,1200,128
935,1400,128
936,516,64
937,372,32
938,892,64
939,1400,128
940,444,32
941,624,64
942,1344,128
943,388,32
944,1212,128
945,740,64
946,1260,128
947,580,64
948,588,64
949,772,64
950,648,64
951,1572,128
952,652,64
953,788,64
954,572,64
955,796,64
956,620,64
957,1320,128
958,652,64
959,1176,128
960,568,64
961,2320,256
962,544,64
963,736,64
964,476,64
965,612,64
966,1372,128
967,572,64
968,1636,128
969,560,64
970,572,64
971,1076,128
972,868,64
973,644,64
974,420,32
975,932,128
976,1056,128
977,1544,128
978,1128,128
979,1332,128
980,1288,128
981,540,64
982,300,32
983,1512,128
984,1452,128
985,1444,128
986,1596,128
987,1224,128
988,1276,128
989,924,64
990,1268,128
991,1604,128
992,600,64
993,308,32
994,620,64
995,704,64
996,548,64
997,1316,128
998,396,32
999,488,64
1000,736,64
